# importDevices.csv
# Structure: <description>(required), <serialNumber>, <groupId1|groupId2|...>(requires exactly one asset type), <vin>
# -------------------------------------------------------------------------
# lines beginning with '#' are comments and ignored
# assumptions: 
# b1, b2, b3, b4 are existing groupIds in database
# b1, b2, b3 are custom groups that are not children of each other or any built-in groups
# b4 is an custom asset type groups that is a child of GroupVehicleId
Imported Vehicle 1,G###########,GroupVehicleId
Imported Vehicle 2,G###########,GroupCompanyId|GroupVehicleId
Imported Vehicle 3,G###########,GroupVehicleId|b1|b2|b3
Imported Vehicle 4,G###########,GroupVehicleId|GroupBatteryElectricVehicleId
Imported Vehicle 5,G###########,GroupVehicleId,VEHICLE_ID_NUMBER
Imported Vehicle 6,I###########,GroupVehicleId,VEHICLE_ID_NUMBER
Imported Vehicle 7,,GroupVehicleId,VEHICLE_ID_NUMBER
Imported Vehicle 8,,GroupTrailerId
Imported Vehicle 9,,b4
Imported Vehicle 10,,b1|b4
