# ImportGroups.csv
# Structure: <parent group name>,<new group name>
# Both <parent group name>,<new group name> must be unique 
# -------------------------------------------------------------------------
# lines beginning with '#' are comments and ignored
# 
# create 2 groups under 'Company Group'
# -------------------------------------------------------------------------
Company Group,Asia
Company Group,Africa
# -------------------------------------------------------------------------
# create 4 groups: 'Canada' and 'USA' with the parent group: 'NorthAmerica'
# and 'Transnistria' and 'UK' with the parent group: 'Europe'
# -------------------------------------------------------------------------
Asia,China
Africa,Eqypt
Europe,France
Europe,Germany
# -------------------------------------------------------------------------
# create 2 groups under Canada
# -------------------------------------------------------------------------
China,Shanghai
Germany,Berlin
# -------------------------------------------------------------------------
# create 2 groups under USA
# -------------------------------------------------------------------------
USA,NV
USA,NY
# -------------------------------------------------------------------------
# create 2 groups under built in groups
# -------------------------------------------------------------------------
Vehicle,Bus
Vehicle,Truck
Trailer,SampleTrailer
